i18n-prefs;.amazon.in;/;Wed Aug 24 10:37:12 IST 2022;false;INR
Cookie_2;www.amazon.in;/;null;true;0987654321
Cookie_1;www.amazon.in;/;null;true;1234567890
session-id-time;.amazon.in;/;Wed Aug 24 10:37:13 IST 2022;false;2082758401l
ubid-acbin;.amazon.in;/;Wed Aug 24 10:37:13 IST 2022;true;259-4907347-7129649
csm-hit;www.amazon.in;/;Tue Aug 09 10:37:13 IST 2022;false;tb:s-KEPCCWNPBMXX1RP3T42K|1629781633018&t:1629781633414&adb:adblk_no
